MONTH,QUANTITY
201008,275532
201009,389341
201010,468866
201011,909390
201012,838988
201101,251557
201102,268923
201103,340460
201104,382245
201105,312533
201106,325245
201107,323235
201108,334078
201109,329268
201110,376904
201111,881851
201112,962824
201201,246383
201202,352493
201203,401011
201204,332202
201205,365234
201206,320017
201207,334004
201208,285837
201209,493651
201210,585418
201211,1085703
201212,840368
201301,338459
201302,349484
201303,402571
201304,517860
201305,531085
201306,589530
201307,420445
201308,649700
201309,504905
201310,684875
201311,1499878
201312,1194197
201401,320134
201402,435008
201403,554893
201404,581763
201405,493588
201406,450242
201407,478639
